id,nombre,apellido,email,tipo_zapato,material_zapato,color_zapato,precio
49697,Diane,Vargas,Diane.Vargas@gmail.com,tacones de aguja,tela,rojo,415
51311,Donald,Delgado,Donald.Delgado@gmail.com,ballet flats,tela,rojo,418
24578,Michael,Drake,MichaelDrake13@gmail.com,sandalias,tela,rojo,419
98468,Logan,Dickerson,LDickerson1990@gmail.com,sandalias,cuero,marrón,421
94856,Juan,Hall,JuanHall82@gmail.com,tacones de aguja,tela,rojo,427
95702,Juan,Rogers,JR9106@gmail.com,ballet flats,cuero,rojo,429
95782,Deborah,Mclaughlin,DM2900@gmail.com,plataformas,cuero,blanco,433
85377,Judith,Levine,JudithLevine16@gmail.com,tacones de aguja,cuero,azul marino,446
84457,Katherine,Talley,Katherine.Talley@gmail.com,ballet flats,tela,rojo,446
29115,Timothy,Drake,TDrake1980@gmail.com,plataformas,cuero,rojo,446
82234,Terry,Baxter,TerryBaxter23@outlook.com,ballet flats,cuero,azul marino,448
45645,Patricia,Mccoy,Patricia.Mccoy@gmail.com,tacones de aguja,cuero sintético,blanco,448
11094,Judith,Palmer,JPalmer1978@outlook.com,ballet flats,cuero sintético,blanco,457
29387,Laura,Pate,LPate1980@gmail.com,sandalias,cuero sintético,rojo,457
55747,Jessica,Sloan,JS9761@outlook.com,tacones de aguja,tela,azul marino,463
86151,Donald,Page,Donald.Page@gmail.com,plataformas,tela,marrón,464
61579,Gabriel,Richards,GRichards1985@gmail.com,plataformas,tela,blanco,464
46451,Sharon,Davidson,SD4858@gmail.com,tacones de aguja,cuero,black,467
95264,Harold,Burks,HaroldBurks68@gmail.com,tacones de aguja,tela,blanco,468
75178,Melissa,Blackwell,Melissa.Blackwell@gmail.com,sandalias,cuero,black,469
57305,Bryan,Boyle,BB4671@gmail.com,ballet flats,tela,azul marino,474
68298,Amanda,Knight,AK6583@gmail.com,plataformas,tela,azul marino,474
18196,Scott,Morton,SM8647@hotmail.com,plataformas,cuero sintético,blanco,475
57860,Evelyn,Holden,Evelyn.Holden@gmail.com,ballet flats,tela,marrón,477
31063,Debra,Nichols,DNichols1991@gmail.com,sandalias,cuero sintético,azul marino,478
18731,Virginia,Shepard,VirginiaShepard73@gmail.com,sandalias,tela,blanco,480
53962,Andrea,Trevino,Andrea.Trevino@gmail.com,sandalias,tela,azul marino,482
50212,Brenda,Burnett,BrendaBurnett83@hotmail.com,sandalias,tela,azul marino,484
74787,James,Gill,JamesGill43@gmail.com,sandalias,tela,marrón,485
15734,Dylan,Hurst,Dylan.Hurst@gmail.com,plataformas,cuero,marrón,488
18956,Tiffany,Stone,TStone1981@gmail.com,ballet flats,cuero,blanco,492
55835,Jeremy,Randall,JeremyRandall28@gmail.com,sandalias,tela,marrón,498
68900,Eugene,Kinney,EugeneKinney89@gmail.com,ballet flats,cuero sintético,black,498
